City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Okitipupa,NG,6.5047,4.7839,77.97,88,35,2.59,scattered clouds
285,Teya,RU,60.3778,92.6267,45.75,89,69,9.84,broken clouds
286,Caborca,MX,30.5838,-111.101,87.49,6,0,11.18,clear sky
287,Broken Hill,AU,-31.95,141.4333,62.31,45,44,20.71,scattered clouds
288,Kakching,IN,24.4833,93.9833,72.1,90,100,2.35,overcast clouds
289,Hasaki,JP,35.7333,140.8333,61.2,84,25,9.4,scattered clouds
290,Pultusk,PL,52.7025,21.0828,63.09,78,100,9.98,overcast clouds
291,Atar,MR,20.5169,-13.0499,96.51,15,6,13.67,clear sky
292,Indramayu,ID,-6.3264,108.32,78.08,88,95,6.67,overcast clouds
293,Mana,GF,5.6592,-53.7767,75.7,95,100,5.21,light rain
294,Port-Gentil,GA,-0.7193,8.7815,82.36,83,40,11.5,moderate rain
295,Tianpeng,CN,30.9866,103.9393,68.47,69,100,1.52,overcast clouds
296,Cleves,DE,51.7833,6.15,52.68,90,100,10.27,light rain
297,Carnarvon,AU,-24.8667,113.6333,51.87,100,0,8.05,clear sky
298,Cambados,ES,42.5122,-8.8131,59.99,77,17,7.54,few clouds
299,Sarangani,PH,5.4033,125.4636,82.98,75,99,6.73,overcast clouds
300,Mankato,US,44.1636,-93.9994,86.79,34,1,18.41,clear sky
301,Belaya Gora,RU,68.5333,146.4167,48.24,60,11,7.07,few clouds
302,Savannah Bight,HN,16.45,-85.85,86.05,78,18,21.94,few clouds
303,Chokurdakh,RU,70.6333,147.9167,28.74,99,95,5.19,overcast clouds
304,Imeni Poliny Osipenko,RU,52.4201,136.4853,33.46,99,100,10.31,snow
305,Algete,ES,40.5971,-3.4974,67.62,57,0,5.01,clear sky
306,Ust-Kuyga,RU,70.0167,135.6,43.77,53,30,3.6,scattered clouds
307,Shambu,ET,9.5667,37.1,59.22,58,92,1.57,overcast clouds
308,Manicore,BR,-5.8092,-61.3003,82.96,71,98,2.01,overcast clouds
309,Mahibadhoo,MV,3.7833,72.9667,83.7,76,81,19.55,broken clouds
310,Sao Filipe,CV,14.8961,-24.4956,73.74,77,2,13.18,clear sky
311,Hanmer Springs,NZ,-42.5167,172.8167,36.57,86,57,1.86,broken clouds
312,Dakar,SN,14.6937,-17.4441,72.48,94,75,11.5,broken clouds
313,Poltava,UA,49.5937,34.5407,53.62,91,88,14.61,overcast clouds
314,Puri,IN,19.8,85.85,83.37,75,100,34.11,heavy intensity rain
315,Miandrivazo,MG,-19.5167,45.4667,68.22,63,9,1.36,clear sky
316,Tagusao,PH,9.1924,117.8141,79.77,83,68,2.82,broken clouds
317,Dodge City,US,37.7528,-100.0171,78.24,67,20,14.0,few clouds
318,Fairbanks,US,64.8378,-147.7164,66.49,33,1,9.22,clear sky
319,Mackay,AU,-21.15,149.2,67.68,94,85,10.36,overcast clouds
320,Jiaojiang,CN,28.6803,121.4428,64.15,88,80,3.42,light rain
321,Katsuura,JP,35.1333,140.3,66.18,88,100,7.14,overcast clouds
322,Sovetskiy,RU,61.3614,63.5842,54.05,89,100,4.72,overcast clouds
323,Badiraguato,MX,25.3667,-107.5167,97.7,10,2,7.31,clear sky
324,Eyl,SO,7.9803,49.8164,83.46,65,80,18.75,broken clouds
325,Bloomington,US,44.8408,-93.2983,86.7,42,20,3.0,few clouds
326,Batagay,RU,67.6333,134.6333,47.25,37,12,3.71,few clouds
327,Flin Flon,CA,54.7682,-101.865,49.84,96,90,9.82,overcast clouds
328,Berlevag,NO,70.8578,29.0864,39.2,64,0,2.3,clear sky
329,Pitelino,RU,54.5777,41.8145,52.45,88,70,6.2,broken clouds
330,Hobyo,SO,5.3505,48.5268,79.92,72,95,19.98,overcast clouds
331,Bousso,TD,10.4795,16.7117,94.5,18,11,2.64,few clouds
332,Varva,UA,50.495,32.7197,49.96,91,0,7.87,clear sky
333,Hovd,MN,48.0056,91.6419,55.31,62,87,3.85,overcast clouds
334,Turukhansk,RU,65.8167,87.9833,30.69,79,99,21.0,overcast clouds
335,Ambanja,MG,-13.6833,48.45,70.92,89,70,3.31,light rain
336,Narasannapeta,IN,18.4167,84.05,84.4,74,100,3.78,light rain
337,Champerico,GT,14.3,-91.9167,89.76,64,95,7.14,overcast clouds
338,Vila Velha,BR,-20.3297,-40.2925,76.95,81,75,3.0,broken clouds
339,Avarua,CK,-21.2078,-159.775,80.65,89,75,10.36,broken clouds
340,Teruel,ES,40.6667,-0.6667,52.79,68,82,5.26,broken clouds
341,Payo,ID,-3.7508,103.6372,73.24,96,55,2.06,broken clouds
342,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,15.23,scattered clouds
343,Auki,SB,-8.7676,160.7034,77.68,83,99,4.56,overcast clouds
344,Trairi,BR,-3.2778,-39.2689,80.29,79,99,11.32,overcast clouds
345,Tahoua,NE,14.8888,5.2692,95.88,8,57,9.98,broken clouds
